"","range","newsC","newsP","blogsC","blogsP","twitterC","twitterP"
"1",1,1,1,1,1,1,1
"2",2,0.995744453748731,0.518934942150487,0.993924060047612,0.414488406967355,0.989701116277051,0.330854804188365
"3",3,0.993508845111124,0.392573585102771,0.99157110334873,0.301116366106561,0.986487734891926,0.226463941352632
"4",4,0.991822781721863,0.32904032489749,0.989894128918959,0.247248817626024,0.984417424626478,0.18162613157209
"5",5,0.9903648363586,0.287837237848991,0.988572170204738,0.215400981786955,0.982775457816931,0.154955420652179
"6",6,0.989095877495162,0.259147535845804,0.987425139060236,0.19329411312339,0.981408795950183,0.137196307198059
"7",7,0.987974780929876,0.238025281412416,0.986411165656568,0.177008754053396,0.980192312370838,0.124023291481008
"8",8,0.986943585797041,0.221372326255583,0.985467099438609,0.164012253111342,0.979096188404053,0.113849288909205
"9",9,0.985970698082168,0.207624905325289,0.984611614243637,0.153707335204624,0.97806755918859,0.105495200297338
"10",10,0.985058659168508,0.196169265324245,0.9838196520165,0.145227566937107,0.977138774863416,0.0987901417055072
"11",11,0.984198054386295,0.186440622633132,0.983053013853593,0.137839812358211,0.976282350960871,0.0932257334125096
"12",12,0.983356221184901,0.177789312857479,0.982322074108959,0.131436408146525,0.975479515195031,0.0884837040802813
"13",13,0.982586182060306,0.170535271226723,0.981623959884554,0.125830225195781,0.974711396651498,0.0843248161929621
"14",14,0.981815045520217,0.163829689989292,0.980963805155586,0.120936670896297,0.973976285770081,0.0806508114851096
"15",15,0.981092946125101,0.157999033665021,0.980335917327783,0.116614757565271,0.973288648060077,0.0774595539074749
"16",16,0.980401141173493,0.152785395283241,0.979729017616238,0.112715807282655,0.972585920193785,0.074415683728004
"17",17,0.979674305564139,0.147650108386221,0.97913826465573,0.109157790851181,0.971935761303316,0.0717755268565472
"18",18,0.979023798090335,0.143324453498394,0.978556715609322,0.105861242485997,0.971298621371212,0.0693404307129705
"19",19,0.978372972943625,0.139237117710047,0.978005598001442,0.102910754796785,0.970677853765537,0.0670997150510302
"20",20,0.977732631002819,0.135427276763561,0.977472382804514,0.100206354699376,0.970107551061604,0.0651495020869201
"21",21,0.977148690442539,0.13212672046802,0.976946216848153,0.0976711398213302,0.969555231615817,0.0633552207179689
"22",22,0.976539798119446,0.128849016688866,0.976422790785297,0.095269222388844,0.968997388975572,0.0616292929249777
"23",23,0.975947020476502,0.125803102718797,0.975897848470695,0.0929698414529422,0.968440466867737,0.059984535003439
"24",24,0.975392392461657,0.123077123978166,0.975407779946225,0.0909165481088425,0.967893769244881,0.0584401713965917
"25",25,0.974818501916954,0.120373997753924,0.974885550924219,0.0888196767536945,0.967401415910351,0.0571072766653708
"26",26,0.974248856637452,0.117798192692418,0.974445305900065,0.0871226977352251,0.966902520220481,0.0558106947713786
"27",27,0.97369396870841,0.11538561989083,0.973971543732079,0.0853667602312198,0.966445212869832,0.0546679084232966
"28",28,0.973175439887449,0.113214630833921,0.973537017903103,0.083815895720383,0.966014699587536,0.0536319245376521
"29",29,0.972649027002544,0.111089346809789,0.973066288238605,0.0821958190743518,0.965559956577171,0.0525767162087689
"30",30,0.972126426192512,0.109052208206012,0.97262194667465,0.0807192935235385,0.965122342044858,0.051596269603592
"31",31,0.971600533135999,0.107070568570608,0.972176647478013,0.0792889093961882,0.964699225897996,0.0506799044758776
"32",32,0.971090234931243,0.105209720807543,0.971735471422086,0.0779174837543738,0.964262005879572,0.0497635393481632
"33",33,0.97061522729843,0.103531693175586,0.971305600751976,0.0766229604849976,0.963856971619328,0.0489411603873939
"34",34,0.970124422658372,0.10185040089843,0.970859663133552,0.0753207469783776,0.963419751600905,0.048080332540147
"35",35,0.969610889965845,0.100142991459688,0.970485228755305,0.0742594942387306,0.963008405118423,0.0472942664166065
"36",36,0.969106512028887,0.0985139335057066,0.97007091961626,0.0731187757142308,0.962612576182276,0.046559465475036
"37",37,0.968639706132924,0.097048107811643,0.969681163115117,0.072075466861486,0.962190051806249,0.0457968958932317
"38",38,0.968164207551073,0.0955953406983729,0.969254989971192,0.0709655092859615,0.961789850341156,0.0450941356903925
"39",39,0.967695611135094,0.0942013371986733,0.968878959538476,0.0700119198677279,0.961367588974389,0.0443721510443145
"40",40,0.967231577657221,0.092856303376949,0.968473322295375,0.0690096256136168,0.960949601508095,0.0436757989892215
"41",41,0.966756801059249,0.0915145342004231,0.968064732351508,0.068025275246408,0.960527471645958,0.0429901271803723
"42",42,0.966316333135144,0.0903000861866332,0.967671012315103,0.0670998833647351,0.960137922055891,0.0423728089474831
"43",43,0.965874825554256,0.0891117553344302,0.967310144399836,0.0662719011548173,0.959766487228599,0.0417982116995689
"44",44,0.965406662328603,0.0878809840946486,0.966917807610637,0.0653926506966073,0.959367830942908,0.041195845811421
"45",45,0.964964461643191,0.0867448875656194,0.966542096388815,0.0645697953115187,0.958987388048465,0.0406340648589994
"46",46,0.96453950193278,0.0856773485857557,0.966156649234737,0.0637443765140155,0.958648599245558,0.0401449095810353
"47",47,0.964105098673248,0.084609809605892,0.96578221485649,0.0629599723151459,0.95829320798312,0.0396429380075787
"48",48,0.963726403689719,0.0836989735955496,0.965460902491127,0.0623011753245921,0.957933181182477,0.0391452385326196
"49",49,0.963323016857573,0.0827489618428269,0.965099555759519,0.0615757296112585,0.95758758701497,0.038677443747143
"50",50,0.962895660160687,0.0817630389929223,0.964760660194098,0.0609092423834609,0.957299230237649,0.0382950909316165
"51",51,0.962485573318156,0.0808358797565881,0.964404208029527,0.0602222478563464,0.956975400086399,0.0378742892296125
"52",52,0.962086431751211,0.0799511609078325,0.964066403101325,0.0595839581651094,0.9566333565439,0.0374385351828672
"53",53,0.961677962152566,0.0790631774138787,0.963716441558258,0.058935414824214,0.956318797469062,0.0370455021210969
"54",54,0.961289188274104,0.0782339575334953,0.963414734061946,0.0583868445674882,0.955982507254124,0.0366332446160879
"55",55,0.960914911831906,0.0774504426858889,0.963069986296808,0.0577716255879827,0.955687805378408,0.0362786604407951
"56",56,0.960490818502148,0.0765787824179268,0.962736410912948,0.0571871675574525,0.955356906853298,0.0358877634282736
"57",57,0.960110766188929,0.0758115907963123,0.962428053189686,0.056656541187629,0.955043925834019,0.0355246350559859
"58",58,0.959750265199118,0.0750966334978714,0.96209902656106,0.0561002806936594,0.954738473454804,0.0351764590284394
"59",59,0.959411914674675,0.0744371751678028,0.961750341861567,0.0555209494879584,0.954444823616127,0.0348475074441316
"60",60,0.959088177103916,0.0738168925801144,0.961436451149481,0.0550082670050371,0.954151929929073,0.0345249640075702
"61",61,0.958731228274783,0.0731443756692523,0.961104471820089,0.054475077222799,0.953869852497832,0.0342195089649987
"62",62,0.958352475532544,0.0724424769516049,0.960770204812626,0.0539470142653901,0.953579062884856,0.0339097818239297
"63",63,0.95798720944914,0.0717764893311395,0.960445301324709,0.0534420220197126,0.953263123011403,0.0335786941903733
"64",64,0.957586941587346,0.0710582673875003,0.960108454029189,0.0529267761243768,0.952969012906522,0.0332753751970505
"65",65,0.957241313465415,0.070447778735407,0.959842870565675,0.0525268837876982,0.952682858831752,0.0329848724992203
"66",66,0.956892162062162,0.0698405547285121,0.959503975000254,0.0520244549544353,0.952381548848381,0.0326836895551464
"67",67,0.95651667268705,0.0691974196244352,0.959179177915969,0.0515502236577332,0.952066924021228,0.0323739624140774
"68",68,0.95619547649954,0.0686554885215075,0.95888688714102,0.0511298240217377,0.951793788904823,0.0321090923072322
"69",69,0.9558203914354,0.0680319412886208,0.95855767430604,0.0506632829622794,0.95148975020038,0.031818589609402
"70",70,0.955455731818453,0.0674345112173209,0.958234632881669,0.0502121223773087,0.951188045703119,0.0315344950593181
"71",71,0.955144412370391,0.0669317558567735,0.957940426841359,0.0498071032158009,0.950930296628419,0.0312952575434579
"72",72,0.954769182909475,0.0663343257854736,0.95761179922635,0.0493610694556594,0.950645523352263,0.0310346595351102
"73",73,0.954461444501446,0.0658511582961164,0.957272797257297,0.0489073454582741,0.95039461251832,0.0308082383147426
"74",74,0.954096727125789,0.0652863746768001,0.956983459183115,0.0485253970084977,0.950121017135711,0.0305647287003849
"75",75,0.953748384344479,0.0647542375094675,0.956678346770605,0.0481280680842337,0.949853405213764,0.0303297632830223
"76",76,0.953371508760321,0.0641861892449529,0.956389061898238,0.0477563732841158,0.949564916931813,0.0300798455209183
"77",77,0.952991802999364,0.0636214056256366,0.956097941563232,0.0473872418964125,0.949282576491312,0.0298384719558094
"78",78,0.952647127896152,0.0631153856198908,0.955809135507206,0.047025800745953,0.949042087399292,0.029635547277178
"79",79,0.952318249800184,0.0626387474209303,0.955510354110753,0.0466566693582497,0.948793346391743,0.0294283505000491
"80",80,0.95197831091121,0.0621523152863747,0.955178321579545,0.0462516501967419,0.948499860933854,0.0291869769349402
"81",81,0.951647931088776,0.0616854710230092,0.954895287920512,0.0459107163455993,0.948234221581356,0.0289712359608163
"82",82,0.951343831479491,0.0612610671472224,0.954591478952484,0.0455492751951398,0.947973250643222,0.0287619031344387
"83",83,0.951040713768279,0.0608431925618324,0.954323182196374,0.0452339754681432,0.947768366429761,0.0285995633915336
"84",84,0.950750678404931,0.0604481704928308,0.954036158401171,0.0449007318542444,0.947487308159402,0.0283795503189122
"85",85,0.950432889981324,0.0600205019718457,0.95377695915553,0.04460337601415,0.947236002811569,0.0281851698372758
"86",86,0.95016532275625,0.0596646556452245,0.953494324510114,0.0442829494623242,0.94700126704711,0.0280057417003806
"87",87,0.94985983693792,0.0592631042858262,0.953249542956503,0.0440086643339614,0.946738323539526,0.0278070891202468
"88",88,0.949515623904389,0.0588158478936509,0.952969515200051,0.043698491431794,0.9464809032264,0.0276148446878591
"89",89,0.949190326848455,0.0583979733082609,0.952667541694662,0.0433678112303098,0.94622341716096,0.0274247363047202
"90",90,0.948938441113204,0.0580780380788216,0.952404751326468,0.0430832724522885,0.945942523271388,0.0272196755768401
"91",91,0.948657733781556,0.0577254563973987,0.952141402339209,0.0428012970866818,0.945673267541567,0.0270252950952037
"92",92,0.948368651436927,0.0573663454255791,0.951889651347754,0.0425347021955627,0.945409995272409,0.0268373227613136
"93",93,0.948100304469265,0.0570366162605448,0.951652264846512,0.0422860511913459,0.945180125179257,0.0266749830184085
"94",94,0.947818297566637,0.056693828514717,0.951419719710491,0.0420450904243729,0.944908009223735,0.0264848746352696
"95",95,0.947525114353582,0.0563412468332942,0.951177172633135,0.0417964394201561,0.944654599801823,0.026309718596872
"96",96,0.947201376782824,0.0559560186998877,0.950932045267722,0.0415477884159393,0.944376631890267,0.0261196102137331
"97",97,0.946846507267259,0.0555381441144976,0.950666461804209,0.0412811935248202,0.944130455223002,0.0259529983723305
"98",98,0.946510351573804,0.0551463866906945,0.950369728677657,0.0409864010971405,0.943897659151835,0.0257970667771716
